Name;NORAD_number;Revolution_number
LANDSAT 3;10702;40559.0
OSCAR 8 (AO-8);10703;40807.0
COSMOS 994;10731;36318.0
COSMOS 996;10744;36677.0
COSMOS 1000;10776;36457.0
INTELSAT 4A-F6;10778;11814.0
OPS 8790;10787;2123.0
YURI (BS);10792;11474.0
OPS 6182 (DMSP 5D-1 F3);10820;45547.0
OTS-2;10855;20002.0
NAVSTAR 2 (OPS 5112);10893;34565.0
COSMOS 1011;10917;35721.0
MOLNIYA 1-40;10925;34394.0
COSMOS 1013;10930;12063.0
COSMOS 1014;10931;12517.0
COSMOS 1015;10932;12941.0
COSMOS 1016;10933;13364.0
COSMOS 1017;10934;13733.0
COSMOS 1018;10935;14129.0
COSMOS 1019;10936;14513.0
COSMOS 1020;10937;14922.0
GOES 3;10953;12455.0
COSMOS 1023;10961;45541.0
SEASAT 1;10967;46338.0
COMSTAR 3;10975;4222.0
GEOS-2;10981;17001.0
RADUGA 4;10987;11558.0
COSMOS 1027;10991;35029.0
COSMOS 1034;11042;13210.0
COSMOS 1035;11044;13636.0
COSMOS 1036;11045;12814.0
COSMOS 1037;11046;12391.0
COSMOS 1038;11047;71098.0
COSMOS 1039;11048;62820.0
COSMOS 1040;11049;11116.0
COSMOS 1041;11050;11533.0
NAVSTAR 3 (OPS 5113);11054;33289.0
MOLNIYA 3-10;11057;42718.0
TIROS N;11060;62194.0
NIMBUS 7;11080;35151.0
CAMEO & DELTA 1 R/B;11081;19234.0
COSMOS 1045;11084;3337.0
RADIO 1 (RS-1);11085;3294.0
RADIO 2 (RS-2);11086;3302.0
COSMOS 1048;11111;43099.0
NATO 3C;11115;65127.0
COSMOS 1051;11128;12884.0
COSMOS 1052;11129;12515.0
COSMOS 1053;11130;12142.0
COSMOS 1054;11131;11769.0
COSMOS 1055;11132;11365.0
COSMOS 1056;11133;10952.0
COSMOS 1057;11134;10554.0
COSMOS 1058;11135;10135.0
NAVSTAR 4 (OPS 5114);11141;22133.0
OPS 9441 (DSCS 2-11);11144;10778.0
OPS 9442 (DSCS 2-12);11145;11312.0
ANIK B1 (TELESAT 4);11153;13203.0
GORIZONT 1;11158;11892.0
COSMOS 1066;11165;90515.0
COSMOS 1067;11168;23477.0
COSMOS 1072;11238;32269.0
SCATHA;11256;13838.0
AYAME (ECS);11261;16940.0
EKRAN 3;11273;13099.0
METEOR 2-4;11288;37850.0
COSMOS 1081;11296;11861.0
COSMOS 1082;11297;71455.0
COSMOS 1083;11298;11076.0
COSMOS 1084;11299;10705.0
COSMOS 1085;11300;9871.0
COSMOS 1086;11301;10269.0
COSMOS 1087;11302;9430.0
COSMOS 1088;11303;8985.0
COSMOS 1089;11308;31436.0
COSMOS 1091;11320;31243.0
COSMOS 1092;11326;54761.0
RADUGA 5;11343;12533.0
OPS 6392 (FLTSATCOM 2);11353;16643.0
COSMOS 1104;11378;30675.0
OPS 5390 (DMSP 5D-1 F4);11389;31852.0
OPS 7484 (DSP 8);11397;2203.0
NOAA 6;11416;39377.0
COSMOS 1109;11417;22575.0
COSMOS 1110;11425;39730.0
GORIZONT 2;11440;13400.0
WESTAR 3;11484;13651.0
COSMOS 1125;11510;38805.0
COSMOS 1130;11538;9253.0
